compra_renta,tipo,precio,superficie,municipio
Renta,Casa en Renta Las Hadas Escobedo N.L,"$10,500",,Las Hadas
Renta,CASA EN RENTA PUERTA DE HIERRO (PRIVADA IBERUS),"$24,500",,Residencial Puerta de Hierro
Renta,"Casa amueblada en renta Paseo Amberes, Guadalupe, N.L.","$11,000",,N.L.
Renta,DEPARTAMENTO EN RENTA KYO ALUNA EN MONTERREY,"$22,500",1 m²,Centro
Renta,DEPARTAMENTO AMUEBLADO EN RENTA EN TORRE CENTRIKA ELITE MONTERREY NUEVO LEON,"$22,000",99 m²,Centrika
Renta,CASA EN RENTA EN GUADALUPE PEDREGAL DE GUADALUPE,"$6,000",1 m²,Pedregal de Guadalupe
Renta,DEPARTAMENTO EN RENTA EN MONTERREY NUEVO SUR 1 RECAMARA AMUEBLADO,"$22,000",1 m²,Ladrillera
Renta,CASA EN RENTA EN APODACA ALTARIA RESIDENCIAL EQUIPADA CON TERRENO EXCEDENTE,"$11,500",1 m²,Sebastián Elizondo II
Renta,"Casa en condominio en renta en Paseo Amberes, Guadalupe, Nuevo León","$11,000",105 m²,N.L.
Renta,"Casa en condominio en renta en Mirasur, General Escobedo, Nuevo León","$9,000",233 m²,Mirasur
Renta,"Casa en Renta Amueblada Santoral 4 habitaciones, García","$23,000",,N.L.
Renta,"Casa en renta Cumbres Provenza Tierra, García","$12,500",,Dominio Cumbres
Renta,Casa en Renta Montealban Residencial cerca del Uro en Monterrey,"$42,000",,Quince de Mayo (Larralde)
Renta,"Casa en Renta Montealban Residencial cerca HEB Uro, Monterrey","$36,500",,Monterrey
Renta,"Casa en Renta Carretera Nacional en Montealban Residencial, Monterrey","$42,000",,Monterrey
Renta,"Casa en Renta en Apodaca, cerca a Citadel y Paseo La Fé","$12,500",,Valle del Pedregal
Renta,Hermoso departamento  equipado,"$15,500",,Contry
Renta,"Casa de 1 piso, en Villa Las Fuentes, Sur, Monterrey","$20,000",160 m²,Villa Las Fuentes
Renta,Depa en RENTA 1 rec con terraza Centro de Monterrey Torre La Capital,"$17,227",,Centro
Renta,Departamento  en renta 2 rec 1 baño zona centro Monterrey,"$22,000",,Centro
Renta,CASA EN RENTA APODACA,"$9,000",130 m²,N.L.
Renta,Departamento en RENTA 2 Rec 1 Baños NO AMUEBLADO La Capital Centro Monterrey,"$21,428",,Centro
Renta,Casa - Obispado,"$185,000",1200 m²,Bosquencinos
Renta,Casa en Renta Semiamueblada Residencial Santa Sofia Apodaca,"$10,400",,Privalia Huinalá
Renta,Renta Departamento en Santa Catarina en Torre Jardin Secreto cercano a Consulado Americano,"$25,419",,Sin Nombre de Col 25
Renta,Hermosa Casa en RENTA en Cumbres Cerradas,"$19,000",,Monterrey
Renta,Departamento - Del Valle,"$18,000",,Del Valle
Renta,Casa en Renta en Ciénega de Flores,"$30,000",522 m²,Ciénega de Flores
Renta,LZ RENTA DE CASA EN PRIVALIA HUINALA,"$7,500",96 m²,Privalia Huinalá
Renta,CASA EN RENTA PUERTA DE HIERRO,"$12,800",124 m²,Monterrey
Renta,CASA EN RENTA PASEO DEL VERGEL,"$23,000",112 m²,Paseo Del Vergel
Renta,CASA EN RENTA GRAN RESERVA SECTOR HIMALAYA,"$20,000",,N.L.
Renta,DEPARTAMENTO EN RENTA COLONIA LOMAS-CHEPEVERA,"$9,500",,Lomas
Renta,CASA EN RENTA PUERTA DE HIERRO (PRIVADA ARAGÓN),"$20,000",150 m²,Monterrey
Renta,CASA EN RENTA PUERTA DE HIERRO (PRIVADA IBERUS),"$24,500",,Residencial Puerta de Hierro
Renta,CASA EN RENTA CERRADAS DE CUMBRES,"$12,500",,Cerradas de Cumbres Sector Norte
Renta,CASA EN RENTA ZONA CUMBRES,"$18,000",,Hacienda Mitras
Renta,Casa en Renta Col PASEO DE CUMBRES MONTERREY NUEVO LEON,"$23,500",166 m²,Paseo de Cumbres 1er Sector
Renta,Casa en Renta Col Vistas de las Mitras Garcia Nuevo Leon,"$6,000",98 m²,N.L.
Renta,Casa en Renta Col Triana Apodaca NL,"$7,900",,Triana
Renta,CASA EN RENTA PRIVADAS DE SANTA ROSA,"$8,000",,Privadas de Santa Rosa
Renta,Casa en renta Apodaca Centro Aeropuerto,"$14,000",,Cd Apodaca
Renta,CASA EN RENTA TOTALMENTE NUEVA; AMUEBLADA EN PARAJE SANTA ROSA,"$12,000",95 m²,Paraje Santa Rosa
Renta,CASA RENTA  VISTANCIA 2 SECTOR CARRETERA NACIONAL EN MONTERREY,"$42,500",200 m²,Monterrey
Renta,Casa Cumbres Samsara Garcia Nuevo Leon,"$17,000",,N.L.
Renta,RENTA DE DEPARTAMENTO ZONA TEC,"$21,000",60 m²,Tecnológico
Renta,Renta Departamento en Santa Catarina en Torre Jardin Secreto cercano a Consulado Americano,"$25,419",,Sin Nombre de Col 25
Renta,"CASA EN RENTA EN ESTANZA RESIDENCIAL, MTY, N.L.","$30,000",,Pedregal La Silla
Renta,Departamentos en Renta Tec Monterrey,"$8,500",,Tecnológico
Renta,Casa en Renta Capellania Residencial Apodaca,"$11,500",,Cd Apodaca
Renta,Departamento en Renta Monterrey Centro,"$9,000",,Maria Luisa
Renta,Casa en Renta Puerta del Sol en Escobedo,"$10,000",,Paseo Real 1er Sector
Renta,Casa en Renta Puerta de Hierro Monterrey,"$23,000",,Monterrey
Renta,Casa en Renta Las Hadas Escobedo N.L,"$10,500",,Las Hadas
Renta,Casa en Renta Cumbres Madeiras Monterrey,"$24,000",,Cumbres Madeira
Renta,CASA EN RENTA pet friendly PUERTA DE HIERRO CUMBRES MONTERREY,"$17,500",133 m²,Residencial Puerta de Hierro
Renta,CASA EN RENTA equipada y pet friendly por cumbres del sol CUMBRES PLATINUM,"$24,000",128 m²,Cumbres del Sol
Renta,CASA EN RENTA equipada y pet friendly MITRAS BICENTENARIO GARCIA,"$8,000",73 m²,Mitras Bicentenario
Renta,CASA EN RENTA pet friendly por tampiquito y valle CAPISTRANO SAN PEDRO,"$29,000",120 m²,Zona Tampiquito
Renta,CASA EN RENTA pet friendly CERRADAS DE CUMBRES MONTERREY,"$14,600",129 m²,Cerradas de Cumbres
Renta,DEPARTAMENTO penthouse en RENTA pet friendly VEREDALTA ZONA VALLE SAN PEDRO,"$130,000",,Punto Central
Renta,DEPARTAMENTO EN RENTA NUEVA MADERO MONTERREY,"$7,000",,Nueva Madero
Renta,"CASA AMUEBLADA EN ESCOBEDO, CAMPO AMOR","$16,500",,Cd Gral Escobedo
Renta,HERMOSA QUINTA CON CASA EN RENTA MARIN NUEVO LEON,"$20,000",,Marín
Renta,CASA NUEVA EN RENTA EQUIPADA EN KATAVIA APODACA,"$22,000",,N.L.
Renta,CASA EN RENTA AMUEBLADA EN PRIVENZA APODACA,"$15,000",,N.L.
Renta,CASA SEMIAMUEBLADA ALMERIA APODACA,"$9,500",,Almería
Renta,HERMOSA CASA EN RENTA AMUEBLADA EN PARAJE SANTA ROSA APODACA,"$12,000",,N.L.
Renta,CASA EN RENTA pet friendly PUERTA DE HIERRO CUMBRES MONTERREY,"$17,500",133 m²,Residencial Puerta de Hierro
Renta,CASA RENTA  VISTANCIA 2 SECTOR CARRETERA NACIONAL EN MONTERREY,"$42,500",200 m²,Monterrey
Renta,"Casa de 1 piso, en Villa Las Fuentes, Sur, Monterrey","$20,000",160 m²,Villa Las Fuentes
Renta,DEPARTAMENTO AMUEBLADO EN RINCONADA APODACA,"$8,500",,N.L.
Renta,CASA EN RENTA EN SAN NICOLAS,"$8,500",,Constituyentes de Queretaro 5o Sector
Renta,CASA EN RENTA EN PRIVADA EN PUERTA DE HIERRO,"$17,500",133 m²,Monterrey
Renta,Casa en renta en Valle Azul Apodaca amueblada ideal para 5 personas,"$12,500",105 m²,Valle Azul
Renta,"Casa en renta en Valle Azul, Apodaca Nuevo León frente a parque","$10,000",105 m²,N.L.
Renta,CARRETERA NACIONAL CASA EN RENTA O VENTA RESIDENCIAL CLUB DE GOLF LA HERRADURA.,"$55,000",620 m²,Sin Nombre de Col 51
Renta,"CASA AMUEBLADA EN RENTA, CERCA DEL AEROPUERTO, APODACA, N.L.","$14,000",,Apodaca Centro
Renta,"ZONA SUR CASA EN RENTA EN PRIVADAS DEL PASEO, MONTERREY, N.L.","$38,000",207 m²,Lomas del Paseo
Renta,"DEPARTAMENTO EN RENTA COMPLETAMENTE AMUEBLADO EN BOSQUES DE LA PASTORA, GPE, NL","$15,000",,Bosques de La Pastora 2o Sector
Renta,"ZONA TEC DEPARTEMENTO EN RENTA AMUEBLADO EN NUEVO SUR, MONTERREY, N.L.","$22,000",,Ladrillera
Renta,1 Recamara equipado y excelentes amenidades area Tec de Monterrey,"$22,000",,Ladrillera
Renta,Zona Tec -Departamento de 1 Recamara con excelentes amenidades,"$22,000",,Lth
Renta,Departamento 2 Recamaras equipado  a 5 min del Tec.,"$32,000",,Ladrillera
Renta,2 Recamaras centro de Monterrey con excelentes amenidades,"$22,000",,Centro
Renta,Deparatmento Loft con excelentes amenidades,"$14,700",,Centro
Renta,1 Recamara centro de Monterrey con excelentes amenidades,"$19,027",,Centro
Renta,RENTA DE CASA CONTRY SOL GUADALUPE N.L.,"$32,000",250 m²,Contry Sol
Renta,RENTA DE DEPARTAMENTO ZONA TEC,"$21,000",60 m²,Tecnológico
Renta,RZ RENTA DE SUITES AMUEBLADA EN SAN PEDRO,"$18,000",33 m²,Fuentes del Valle
Renta,RZ RENTA DE DEPARTAMENTO EN SAN PEDRO,"$25,000",60 m²,Fuentes del Valle
Renta,Casa en Renta Amueblada en El Uro,"$99,000",2000 m²,Col. El Uro
Renta,CASA SEMIAMUEBLADA ALMERIA APODACA,"$9,500",,Almería
Renta,CASA HABITACION EN RENTA EN ESCOBEDO NL COL. PRIVADAS DEL CANADA / SECTOR ONTARIO /PRIVADA/ESQUINA/,"$19,500",168 m²,Cd Gral Escobedo
Renta,RZ RENTA DE SUITE EN SAN PEDRO,"$17,500",28 m²,Fuentes del Valle
Renta,RENTA DE CASA EN DOMINIO CUMBRES,"$16,500",122 m²,N.L.
Renta,Casa - Las Lomas Sector Bosques,"$13,000",96 m²,Las Lomas Sector Bosques
Renta,Departamento - Residencial Santa Fé,"$18,000",,Los Cristales 1er Sector
Renta,Departamento  RENTA 2 rec 1 baños NO Amueblado LATITUD Valle Oriente San Pedro,"$29,380",,Ampliación Valle del Mirador
Renta,Casa en renta en Valle de Huinalá Apodaca Nuevo León a 5 min de Metalsa,"$6,000",105 m²,Valle de Huinala ÌII
Renta,"PRO5500 Casas en Renta, Terrazas en Guadalupe","$12,000",105 m²,Lomas de San Roque
Renta,Casa en Renta en Valle Azul Apodaca Nuevo León Frente a Parque.,"$10,000",112 m²,Valle Azul
Renta,Casa en renta en Valle Azul Apodaca Nuevo León a 5 minutos del centro de Apodaca.,"$9,500",112 m²,Valle Azul
Renta,Casa en renta Valle Azul Apodaca Nuevo León lista para habitar,"$8,500",112 m²,Valle Azul
Renta,"Casa en renta, en Juarez.N.L.","$15,000",,Lomas del Sol
Renta,Departamento en RENTA Nuevo Sur cerca de tec de monterrey,"$22,000",,Ladrillera
Renta,CASA EN RENTA EN ESTANZA RESIDENCIAL MTY NL,"$30,000",,Pedregal La Silla
Renta,DEPARTAMENTO EN RENTA EN TORRE NAVE 01 APODACA NL,"$15,000",,El Milagro
Renta,"DEPARTAMENTO EN RENTA EN TORRE NAVE 01, APODACA, N.L.","$15,000",,El Milagro
Renta,"CASA EN RENTA EN ESTANZA RESIDENCIAL, MTY, N.L.","$30,000",,Pedregal La Silla
Renta,"DEPARTAMENTO EN RENTA EN TORRE NAVE 01, APODACA, N.L.","$16,500",,El Milagro
Renta,Departamento tipo loft en RENTA Torre LATITUD  VALLE ORIENTE San Pedro Monterrey,"$20,760",,Ampliación Valle del Mirador
Renta,RENTA de CASA en RESIDENCIAL MEDEROS Zona Contry MONTERREY NL,"$16,000",190 m²,Residencial Mederos
Renta,Casa en Renta Cumbres Madeiras Monterrey,"$24,000",,Cumbres Madeira
Renta,Casa en Renta Las Hadas Escobedo N.L,"$10,500",,Las Hadas
Renta,Departamento  RENTA 2 rec 1 baños NO Amueblado LATITUD Valle Oriente San Pedro,"$29,380",,Ampliación Valle del Mirador
Renta,Departamento loft en RENTA Torre La Capital zona centro Monterrey,"$14,050",,Centro
Renta,Renta casa Centro de Monterrey Nuevo Leon,"$13,600",,Centro
Renta,DEPARTAMENTO EN RENTA EN TORRE NAVE 01 APODACA NL,"$15,000",,El Milagro
Renta,CASA EN RENTA EN KATAVIA RESIDENCIAL APODACA NL,"$18,500",,N.L.
Renta,"Casa en Renta - Bosques de Linsa Vista, San Nicolás de los Garza","$20,000",300 m²,Talaverna Croc
Renta,Casa en Renta Semiamueblada Residencial Santa Sofia Apodaca,"$10,400",,Privalia Huinalá
Renta,RENTA CASA EQUIPADA Y AMUEBLADA EN DREAMS LAGOONS APODACA NL,"$16,500",,Cd Apodaca
Renta,"Casa amueblada en renta Paseo Amberes, Guadalupe, N.L.","$11,000",,N.L.
Renta,Casa en renta en Valle de las Cumbres Monterrey,"$8,500",,"Valle de Las Cumbres, 1er Sector"
Renta,Hermoso Loft en San Pedro en zona UDEM,"$8,500",,Los Sauces 2o Sector
Renta,Casa en Renta en Deportivo Huinalá Mundialista en Apodaca,"$9,500",105 m²,Cd Apodaca
Renta,Renta Departamento en Santa Catarina en Torre Jardin Secreto cercano a Consulado Americano,"$25,419",,Sin Nombre de Col 25
Renta,Casa en Renta Lagos del Vergel,"$55,000",360 m²,Campestre Bugambilias
Renta,Loft Prados de la Sierra,"$9,000",18 m²,Prados de La Sierra
Renta,Casa en Renta en Col Arbado en Apodaca,"$15,000",142 m²,Santa Cecilia
Renta,CASA EN RENTA EL ENCANTO ZONA CARRETERA NACIONAL MONTERREY,"$25,500",156 m²,Pedregal La Silla
Renta,BONITO DEPARTAMENTO EN RENTA,"$21,000",,Chepevera
Renta,"DEPARTAMENTO EN RENTA, ARENA VIVE; ZONA CENTRO","$25,000",,Acero
Renta,Bonita  Casa en Renta  Cumbres Elite Premier,"$23,000",156 m²,N.L.
Renta,Depa en Renta Amueblado y Equipado a 5 min de San Pedro Deda 4,"$11,500",,Las Torres
Renta,DEPARTAMENTO EN RENTA SEMIEQUIPADO MITRAS NORTE,"$18,500",,Mitras Centro
Renta,Casa - Las Lomas Sector Bosques,"$13,000",96 m²,Las Lomas Sector Bosques
Renta,Departamento en RENTA Nuevo Sur cerca de tec de monterrey,"$22,000",,Ladrillera
Renta,"Depa en Renta Amueblado y Equipado a 5 min de San Pedro $10,400  DEP2","$10,400",320 m²,Las Torres
Renta,DEPARTAMENTO EN RENTA AMUEBLADO ESCOBEDO,"$11,000",,Escobedo Residencial
Renta,CASA EN RENTA BOSQUES DE LAS CUMBRES 1er SECTOR,"$30,000",,Bosques de Las Cumbres
Renta,Renta Casa Paseo de Cumbres,"$16,500",131 m²,Cumbres Madeira
Renta,Casa en Renta Privalia Huinala Apodaca Nuevo León,"$7,700",,Privalia Huinalá
Renta,TERRENO EN RENTA EN VASCONCELOS SAN PEDRO GARZA GARCIA,"$43,000",,Casco Urbano
Renta,CASA HABITACION EN RENTA EN ESCOBEDO NL COL. PRIVADAS DEL CANADA / SECTOR ONTARIO /PRIVADA/ESQUINA/,"$19,500",168 m²,Cd Gral Escobedo
Renta,DEPARTAMENTO EN VENTA EN TORRE NAVE APODACA NL,"$2,200,000",,El Milagro
Renta,DEPARTAMENTO penthouse EN RENTA cerca de valle oriente y fundadores JARDINES DEL PASEO,"$69,000",,Colonia Miguel Hidalgo
Renta,CASA EN RENTA  EN VILLA LAS FUENTES,"$14,000",110 m²,Cortijo del Río
Renta,"CASA EN RENTA EN PRIVADA SAN ANGEL GUADALUPE,RUIZ CORTINES, DULCES NOMBRES","$10,500",104 m²,N.L.
Renta,"Casa en Renta en Cumbres Santa Clara, Monterrey, N.L.","$17,500",175 m²,Cumbres de Santa Clara
Renta,Departamento TEC,"$11,000",,Monterrey
Renta,Loft San Pedro Valle Oriente Magma Towers,"$33,000",,Haciendas de La Sierra
Renta,Se renta departamento en zona TEC,"$35,000",120 m²,Ladrillera
Renta,CASA EN RENTA - Casa Pedregal La Silla,"$29,800",153 m²,Predio Creplan
Renta,Departamento Amueblado en Centro de Guadalupe Nuevo Leon,"$19,500",,Guadalupe
Renta,DEPARTAMENTO EN RENTA EN MONTERREY PASEO SANTA LUCIA LOFT SIN MUEBLES,"$15,706",40 m²,Centro
Renta,"Renta de casa en Faisanes, sector Dorado en Guadalupe Nuevo León","$11,000",115 m²,Los Faisanes Sector El Dorado
Renta,Renta Casa Paseo de Cumbres,"$16,500",131 m²,Cumbres Madeira
Renta,Departamento TEC,"$11,000",,Monterrey
Renta,CASA EN RENTA AMUEBLADA EN PRIVENZA APODACA,"$15,000",,N.L.
Renta,"Casa sola en renta en Residencial Terranova, Juárez, Nuevo León","$6,000",80 m²,Terranova Residencial
Renta,"Casa sola en renta en Residencial Terranova, Juárez, Nuevo León","$7,500",90 m²,Terranova Residencial
Renta,"Casa en condominio en renta en Privadas de Anáhuac Sector Español, General Escobedo, Nuevo León","$19,000",120 m²,Privadas de Anáhuac
Renta,"Departamento en renta en Prados de La Cieneguita, Apodaca, Nuevo León","$4,200",,Prados de La Cieneguita
Renta,"Casa en condominio en renta en Modena, Apodaca, Nuevo León","$7,900",90 m²,N.L.
Renta,"Casa sola en renta en Hacienda los Encinos, Apodaca, Nuevo León","$11,000",90 m²,Hacienda Las Palmas II
Renta,"Casa en Renta Amueblada Residencial Aviana, Escobedo","$12,500",,Sin Nombre de Col 15
Renta,"Departamento Amueblado de 3 recamaras  en Renta, Portal del Norte.","$15,000",,Portal del Norte
Renta,"Loft Amueblado en Renta Cumbres Allegro en Amairé, Monterrey, N.L","$14,000",,Monterrey
Renta,"Casa en Renta en Cumbres Altrysa Residencial Equipada, García","$14,500",,N.L.
Renta,"Casa en Renta, Puerta de Hierro, Balcones Sur, Monterrey","$17,500",,Residencial Puerta de Hierro
Renta,Departamento en renta Cumbres 1° sec Monterrey,"$10,000",,Paseo de Cumbres 1er Sector
Renta,"CASA RENTA EN CERRADAS CONCORDIA, APODACA N.L","$13,500",135 m²,Residencial La Hacienda
Renta,DEPARTAMENTO EN RENTA EN TORRES DE LINDA VISTA,"$9,500",,Ribera de La Purísima
Renta,Casas Renta Monterrey Zona Valle 27-CR-4149,"$22,500",338 m²,Balcones del Carmen
Renta,Departamentos Renta Monterrey Zona Chepevera 27-DR-4118,"$21,000",140 m²,Chepevera
Renta,Departamentos Renta Monterrey Zona Chepevera 27-DR-4115,"$21,000",120 m²,Chepevera
Renta,Casas Renta Apodaca  27-CR-4236,"$12,500",128 m²,N.L.
Renta,CASA EN RENTA APODACA,"$11,300",130 m²,Almería
Renta,OFICINA EN RENTA CENTRO DE MONTERREY,"$7,000",,Centro
Renta,CASA EN RENTA PUERTA DE HIERRO (PRIVADA ARAGÓN),"$20,000",150 m²,Monterrey
Renta,TERRENO EN RENTA EN VASCONCELOS SAN PEDRO GARZA GARCIA,"$43,000",,Casco Urbano
Renta,Hermoso departamento  equipado,"$15,500",,Contry
Renta,Casas Renta García Zona Cumbres 24-CR-6794,"$13,600",122 m²,N.L.
Renta,Casas Renta Monterrey Zona Cumbres 24-CR-6777,"$16,800",171 m²,Colonial Cumbres
Renta,Casas Renta Monterrey Zona Cumbres 24-CR-6832,"$12,000",180 m²,Los Cedros
Renta,Departamentos Renta Monterrey Zona Valle 27-DR-4352,"$35,000",98 m²,Centro
Renta,Departamentos Renta Monterrey Zona Centro 27-DR-4358,"$17,000",70 m²,Centro
Renta,Casa en renta colinas de san Jeronimo,"$45,000",180 m²,Colinas de San Jerónimo
Renta,DEPARTAMENTO EN RENTA COLINAS DE SAN JERONIMO,"$15,000",100 m²,Colinas de San Jerónimo
Renta,DEPARTAMENTO EN RENTA COLINAS DE SAN JERONIMO,"$32,000",190 m²,Monterrey
Renta,CASA EN RENTA CUMBRES,"$20,000",200 m²,Burócratas del Estado
Renta,DEPARTAMENTO EN RENTA SAN JERONIMO,"$24,600",110 m²,San Jerónimo
Renta,DEPARTAMENTO EN RENTA MAGMA TOWERS,"$32,000",85 m²,Haciendas de La Sierra
Renta,CASA EN RENTA VALLE DEL SEMINARIO,"$23,600",220 m²,Valle del Seminario 2o Sector
Renta,Casa renta cumbres privada dominio,"$14,500",125 m²,Dominio Cumbres
Renta,DEPARTAMENTO EN RENTA COL DOCTORES,"$25,500",160 m²,Los Doctores
Renta,CASA EN RENTA CUMBRES 3 ER SECTOR,"$15,000",180 m²,Cumbres 3o. Sector
Renta,DEPARTAMENTO EN RENTA VALLE TORRE ARCANGELES,"$40,500",130 m²,Zona Loma Larga Poniente
Renta,CASA EN RENTA COL VALLE DEL SEMINARIO,"$27,000",200 m²,Valle del Seminario 2o Sector
Renta,Casas Renta San Pedro Garza García Zona Valle 27-CR-4411,"$29,500",126 m²,Palo Blanco
Renta,Casas Renta Santa Catarina Zona Santa Catarina 27-CR-4416,"$12,500",120 m²,Bosques del Poniente
Renta,Departamentos Renta Santa Catarina Zona Santa Catarina 27-DR-4427,"$19,500",60 m²,Sin Nombre de Col 22
Renta,BONITO DEPARTAMENTO EN RENTA,"$21,000",,Chepevera
Renta,"Casa en Renta Carretera Nacional en Montealban Residencial, Monterrey","$42,000",,Monterrey
Renta,CASA EN RENTA APODACA,"$9,000",130 m²,N.L.
Renta,Departamentos Renta San Pedro Garza García Zona Valle 27-DR-4454,"$25,500",70 m²,Haciendas de La Sierra
Renta,Departamentos Renta Santiago Zona Carr. Nacional 27-DR-4458,"$10,800",60 m²,Las Misiones
Renta,"PRO5234 Casas en Renta, Punta Esmeralda en Juarez","$8,500",90 m²,Residencial Punta Esmeralda
Renta,Casas Renta Monterrey Zona Cumbres 27-CR-4489,"$13,500",134 m²,Monterrey
Renta,Casas Renta García Zona Cumbres 27-CR-4534,"$14,500",120 m²,Dominio Cumbres
Renta,Casas Renta Santa Catarina Zona Santa Catarina 27-CR-4526,"$18,500",117 m²,Los Treviño
Renta,Departamentos Renta San Pedro Garza García Zona Valle 27-DR-4515,"$37,000",206 m²,Zona de La Sierra Madre
Renta,Departamentos Renta San Pedro Garza García Zona Valle 27-DR-4518,"$58,000",244 m²,Lomas del Valle
Renta,Departamentos Renta San Pedro Garza García  27-DR-4516,"$60,000",265 m²,Residencial Santa Barbara
Renta,Casas Renta Monterrey  27-CR-4524,"$23,000",156 m²,Acueducto Satélite
Renta,Casa - Valle de Cumbres,"$16,000",126 m²,Valle de Cumbres
Renta,Casa - Fraccionamiento Altrysa,"$11,500",119 m²,Dominio Cumbres
Renta,Casa en Renta en Monterrey en Fraccionamiento Gran Reserva Sector HIMALAYA,"$20,300",148 m²,N.L.
Renta,Casa - La Primavera 1 Sector,"$20,000",220 m²,Ladrillera
Renta,Departamento - Santa Catarina,"$20,800",,El Lechugal
Renta,Departamento - Apodaca,"$13,900",,Valle de Huinala II
Renta,Casa - Cumbres,"$15,000",105 m²,N.L.
Renta,Casa - Monterrey,"$18,500",230 m²,Dominio Cumbres
Renta,Casa - Fraccionamiento Montenova,"$18,900",160 m²,N.L.
Renta,RA RENTA DE DEPARTAMENTO EN NUEVO SUR,"$20,000",59 m²,Lth
Renta,"Casa en Renta Amueblada Santoral 4 habitaciones, García","$23,000",,N.L.
Renta,Casa en Renta en Valle Azul Apodaca Nuevo León Frente a Parque.,"$10,000",112 m²,Valle Azul
Renta,Departamento loft en RENTA Torre La Capital zona centro Monterrey,"$14,050",,Centro
Renta,AS RENTA DE CASA EN CONTRY DEL SOL EN GUADALUPE,"$32,000",250 m²,Contry Sol
Renta,RENTA  DEPARTAMENTO KERENDA VALLE PONIENTE,"$30,000",,Sin Nombre de Col 25
Renta,CASA AMUEBLADA  EN RENTA TOSCANA RESIDENCIAL(DOMINIO CUMBRES),"$15,000",105 m²,N.L.
Renta,CASA EN RENTA MISION SAN JOSE APODACA,"$9,500",,Cd Apodaca
Renta,Casa Habitacional o para oficinas en RENTA con alberca Carr Nacional  Monterrey,"$65,000",4000 m²,Sin Nombre de Col 51
Renta,Bodega en renta en Carretera Miguel Aleman km 38 Marin,"$50,000",1500 m²,Marín
Renta,CASA EN RENTA HACIENDA DE LAS FLORES CIENEGA DE FLORES NL,"$11,000",294 m²,Ciénega de Flores
Renta,"Casa en Renta Col. CENTRIKA HUINALA, Apodaca, Nuevo León","$13,000",98 m²,Villa de San Carlos 2o Sector
Renta,CASA EN RENTA Col MITRAS PONIENTE GARCIA NL,"$8,500",,Mitras Poniente
Renta,CASA EN RENTA Col EL QUETZAL GUADALUPE NL,"$12,000",105 m²,El Quetzal
